Variable;Details
Last Name;
First Name;
Position_cat4;Positions played (NHL source)
Position;Positions played. NHL source listed first, followed by those listed by any other source.
Team;
Nat;Nationality
Height;Height
Weigth;Weigth
Hand;Handedness
GP;Games Played
Goals;Goals
Assist;Assist
A1;First assists, primary assists
A2;Second assists, secondary assists
Points;Points
Plus_minus;Plus/minus
E_plus_min;A player's expected +/-, based on his team and minutes played
PIM;Penalties in minutes
TOI;Time on ice, in minutes, or in seconds (NHL)
TOI/GP;Time on ice divided by games played
TOI%;Percentage of all available ice time assigned to this player.
IPP%;Individual points percentage, which is on-ice goals for which this player had the goal or an assist
SH%;The team's (not individual's) shooting percentage when the player was on the ice
SV%;The team's save percentage when the player was on the ice
PDO;The team's shooting and save percentages added together, times a thousand
F/60;Events For per 60 minutes, defaults to Corsi, but can be set to another stat
A/60;Events Against per 60 minutes, defaults to Corsi, but can be set to another stat
Pct%;Percentage of all events produced by this team, defaults to Corsi, but can be set to another stat
Diff;Events for minus event against, defaults to Corsi, but can be set to another stat
Diff/60;Events for minus event against, per 60 minutes, defaults to Corsi, but can be set to another stat
iCF;Shot attempts (Corsi, SAT) taken by this individual
iFF;Unblocked shot attempts (Fenwick, USAT) taken by this individual
iSF;Shots on goal taken by this individual
ixG;Expected goals (weighted shots) for this individual, which is shot attempts weighted by shot location
iSCF;All scoring chances taken by this individual
iRB;Rebound shots taken by this individual
iRS;Shots off the rush taken by this individual
iDS;Dangerous shots taken by this player, the sum of rebounds and shots off the rush
sDist;The average shot distance of shots taken by this player
Pass;An estimate of the player's setup passes (passes that result in a shot attempt)
iHF;Hits thrown by this individual
iHA;Hits taken by this individual
iHDf;The difference in hits thrown by this individual minus those taken
iMiss;Individual shots taken that missed the net.
iGVA;Giveaways by this individual
iTKA;Takeaways by this individual
iBLK;Shots blocked by this individual
BLK%;Percentage of all opposing shot attempts blocked by this player
iFOW;Faceoff wins by this individual
iFOL;Faceoff losses by this individual
FO%;Faceoff winning percentage
%FOT;Percentage of all on-ice faceoffs taken by this player.
dzFOW;Faceoffs win in the defensive zone
dzFOL;Faceoffs lost in the defensive zone
nzFOW;Faceoffs won in the neutral zone
nzFOL;Faceoffs lost in the neutral zone
ozFOW;Faceoffs won in the offensive zone
ozFOL;Faceoffs lost in the offensive zone
FOW.Up;Faceoffs won when the team was in the lead
FOL.Up;Faceoffs lost when the team was in the lead
FOW.Down;Faceoffs won when the team was trailing
FOL.Down;Faceoffs lost when the team was trailing
FOW.Close;Faceoffs won when the score was close
FOL.Close;Faceoffs lost when the score was close
OTG;Overtime goals
1G;First goals of a game
GWG;Game-winning goals
ENG;Empty-net goals
PSG;Penalty shot goals
PSA;Penalty shot attempts
G.Bkhd;Goals scored on the backhand
G.Dflct;Goals scored with deflections
G.Slap;Goals scored with slap shots
G.Snap;Goals scored with snap shots
G.Tip;Goals scored with tip shots
G.Wrap;Goals scored with a wraparound
G.Wrst;Goals scored with a wrist shot
CBar ;Crossbars hit
Post;Times hit the post
Over;Shots that went over the net
Wide;Shots that went wide of the net
S.Bkhd;Backhand shots
S.Dflct;Deflections
S.Slap;Slap shots
S.Snap;Snap shots
S.Tip;Tipped shots
S.Wrap;Wraparound shots
S.Wrst;Wrist shots
iPenT;Penalties taken by this individual
iPenD;Penalties drawn by this individual
iPENT;Penalties taken by this individual
iPEND;Penalties drawn by this individual
iPenDf;The difference in penalties drawn minus those taken
NPD;Net Penalty Differential is the player's penalty differential relative to a player of the same position with the same ice time per manpower situation
Min;Minor penalties taken
Maj;Major penalties taken
Match;Match penalties
Misc;Misconduct penalties
Game;Game Misconduct penalties
CF;The team's shot attempts (Corsi, SAT) while this player was on the ice
CA;Shot attempts allowed (Corsi, SAT) while this player was on the ice
FF;The team's unblocked shot attempts (Fenwick, USAT) while this player was on the ice
FA;Unblocked shot attempts allowed (Fenwick, USAT) while this player was on the ice
SF;The team's shots on goal while this player was on the ice
SA;Shots on goal allowed while this player was on the ice
xGF;The team's expected goals (weighted shots) while this player was not on the ice, which is shot attempts weighted by location
xGA;Expected goals allowed (weighted shots) while this player was not on the ice, which is shot attempts weighted by location
SCF;The team's scoring chances while this player was on the ice
SCA;Scoring chances allowed while this player was on the ice
GF;The team's goals while this player was on the ice
GA;Goals allowed while this player was on the ice
RBF;The team's rebounds while this player was on the ice. Two very different sources.
RBA;Rebounds allowed while this player was on the ice. Two very different sources.
RSF;The team's shots off the rush while this player was on the ice
RSA;Shots off the rush allowed while this player was on the ice
DSF;The team's dangerous shots while this player was on the ice, which is rebounds plus rush shots
DSA;Dangerous shots allowed while this player was on the ice, which is rebounds plus rush shots
FOW;The team's faceoff wins while this player was on the ice
FOL;The team's faceoff losses while this player was on the ice
HF;The team's hits thrown while this player was on the ice
HA;The team's hits taken while this player was on the ice
GVA;The team's giveaways while this player was on the ice
TKA;The team's takeaways while this player was on the ice
PENT;The team's penalties taken while this player was on the ice
PEND;The team's penalties drawn while this player was on the ice
OPS;Offensive point shares, a catch-all stats that measures a player's offensive contributions in points in the standings
DPS;Defensive point shares, a catch-all stats that measures a player's defensive contributions in points in the standings
PS;Point shares, a catch-all stats that measures a player's contributions in points in the standings
SOS;Shootout Shots
SOG;Shootout Goals
SOGDG;Game-deciding shootout goals
OTOI;The amount of time this player was not on the ice.
Grit;Defined as hits, blocked shots, penalty minutes, and majors
DAP;Disciplined aggression proxy, which is hits and takeaways divided by minor penalties
Pace;The average game pace, as estimated by all shot attempts per 60 minutes
GS;The player's combined game score
GS/G;The player's average game score
GS/G;The player's average game score
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
Post;Times hit the post
Pr/St;Province or state of birth
PS;Point shares, a catch-all stats that measures a player's contributions in points in the standings
PSA;Penalty shot attempts
PSG;Penalty shot goals
PTS;Points. Goals plus all assists
PTS/60;Points per 60 minutes
QRelCA60 ;Shot attempts allowed per 60 minutes relative to how others did against the same competition
QRelCF60 ;Shot attempts per 60 minutes relative to how others did against the same competition
QRelDFA60 ;Weighted unblocked shot attempts (Dangeorus Fenwick)  allowed per 60 minutes relative to how others did against the same competition
QRelDFF60 ;Weighted unblocked shot attempts (Dangeorus Fenwick) per 60 minutes relative to how others did against the same competition
RBA;Rebounds allowed while this player was on the ice. Two very different sources.
RBF;The team's rebounds while this player was on the ice. Two very different sources.
RelA/60;The player's A/60 relative to the team when he's not on the ice
RelC/60;Corsi differential per 60 minutes relative to his team
RelC%;Corsi percentage relative to his team
RelDf/60;The player's Diff/60 relative to the team when he's not on the ice
RelF/60;The player's F/60 relative to the team when he's not on the ice
RelF/60;Fenwick differential per 60 minutes relative to his team
RelF%;Fenwick percentage relative to his team
RelPct%;The players Pct% relative to the team when he's not on the ice
RelZS%;The player's zone start percentage when he's on the ice relative to when he's not.
RopFO;Opening faceoffs taken at home
RopFOW;Opening faceoffs won at home
RSA;Shots off the rush allowed while this player was on the ice
RSF;The team's shots off the rush while this player was on the ice
S.Bkhd;Backhand shots
S.Dflct;Deflections
S.Slap;Slap shots
S.Snap;Snap shots
S.Tip;Tipped shots
S.Wrap;Wraparound shots
S.Wrst;Wrist shots
SA;Shots on goal allowed while this player was on the ice
Salary;The player's salary
SCA;Scoring chances allowed while this player was on the ice
SCF;The team's scoring chances while this player was on the ice
sDist;The average shot distance of shots taken by this player
SF;The team's shots on goal while this player was on the ice
SH%;The team's (not individual's) shooting percentage when the player was on the ice
SOG;Shootout Goals
SOGDG;Game-deciding shootout goals
SOS;Shootout Shots
Status;This player's free agency status
SV%;The team's save percentage when the player was on the ice
Team;
TKA;The team's takeaways while this player was on the ice
TMCA60;A weighted average of the shot attempts (Corsi, SAT) the team allowed per 60 minutes of a player's linemates
TMCF60;A weighted average of the shot attempts (Corsi, SAT) the team generated per 60 minutes of a player's linemates
TMFA60;A weighted average of the unblocked shot attempts (Fenwick, USAT) the team allowed per 60 minutes of a player's linemates
TMFF60;A weighted average of the unblocked shot attempts (Fenwick, USAT) the team generated per 60 minutes of a player's linemates
TMGA60;A weighted average of the goals the team allowed per 60 minutes of a player's linemates
TMGF60;A weighted average of the goals the team scored per 60 minutes of a player's linemates
TMSA60;A weighted average of the shots on goal the team allowed per 60 minutes of a player's linemates
TMSF60;A weighted average of the shots on goal the team generated per 60 minutes of a player's linemates
TmxGF;A weighted average of a player's linemates of the expected goals the team scored
TmxGA;A weighted average of a player's linemates of the expected goals the team allowed
TMGA;A weighted average of a player's linemates of the goals the team scored
TMGF;A weighted average of a player's linemates of the goals the team allowed
TOI;Time on ice, in minutes, or in seconds (NHL)
TOI.QoC;A weighted average of the TOI% of a player's opponents.
TOI.QoT;A weighted average of the TOI% of a player's linemates.
TOI/GP;Time on ice divided by games played
TOI%;Percentage of all available ice time assigned to this player.
Wide;Shots that went wide of the net
Wt;Weight
xGA;Expected goals allowed (weighted shots) while this player was on the ice, which is shot attempts weighted by location
xGF;The team's expected goals (weighted shots) while this player was on the ice, which is shot attempts weighted by location
xGF.QoC;A weighted average of the expected goal percentage of a player's opponents
xGF.QoT;A weighted average of the expected goal percentage of a player's linemates
ZS%;Zone start percentage, the percentage of shifts started in the offensive zone, not counting neutral zone or on-the-fly changes
